tournaments.RoundRobinTournament
AIs
	lightari
	AgentP(AStarPathFinding)
	mayari
	WorkerRush(AStarPathFinding)
	CoacAI(AStarPathFinding)
	RandomAI
maps
	/home/nickadkins47/CS4900/CS4900-PA3/maps/16x16/basesWorkers16x16A.xml
iterations	100
maxGameLength	3000
timeBudget	100
iterationsBudget	-1
pregameAnalysisBudget	1000	1000
preAnalysis	true
fullObservability	true
timeoutCheck	true
runGC	false
iteration	map	ai1	ai2	time	winner	crashed	timedout
18	0	5	4	875	1	-1	-1
19	0	0	1	1029	1	-1	-1
19	0	0	2	1935	1	-1	-1
19	0	0	3	370	1	-1	-1
19	0	0	4	1700	1	-1	-1
19	0	0	5	848	0	-1	-1
19	0	1	0	710	0	-1	-1
19	0	1	2	835	0	-1	-1
19	0	1	3	1445	1	-1	-1
19	0	1	4	2168	1	-1	-1
19	0	1	5	665	0	-1	-1
19	0	2	0	1231	0	-1	-1
19	0	2	1	1991	0	-1	-1
19	0	2	3	930	0	-1	-1
19	0	2	4	906	1	-1	-1
19	0	2	5	845	0	-1	-1
19	0	3	0	405	0	-1	-1
19	0	3	1	3000	-1	-1	-1
19	0	3	2	1109	1	-1	-1
19	0	3	4	860	1	-1	-1
19	0	3	5	405	0	-1	-1
19	0	4	0	895	0	-1	-1
19	0	4	1	1769	0	-1	-1
19	0	4	2	1007	0	-1	-1
19	0	4	3	525	1	-1	-1
19	0	4	5	790	0	-1	-1
19	0	5	0	845	1	-1	-1
19	0	5	1	495	1	-1	-1
19	0	5	2	878	1	-1	-1
19	0	5	3	445	1	-1	-1
19	0	5	4	975	1	-1	-1
20	0	0	1	935	1	-1	-1
20	0	0	2	1909	1	-1	-1
20	0	0	3	380	1	-1	-1
20	0	0	4	1661	1	-1	-1
20	0	0	5	764	0	-1	-1
20	0	1	0	920	0	-1	-1
20	0	1	2	950	0	-1	-1
20	0	1	3	1445	1	-1	-1
20	0	1	4	2168	1	-1	-1
20	0	1	5	615	0	-1	-1
20	0	2	0	1340	0	-1	-1
20	0	2	1	2009	0	-1	-1
20	0	2	3	1075	0	-1	-1
20	0	2	4	906	1	-1	-1
20	0	2	5	735	0	-1	-1
20	0	3	0	455	0	-1	-1
20	0	3	1	3000	-1	-1	-1
20	0	3	2	1012	1	-1	-1
20	0	3	4	860	1	-1	-1
20	0	3	5	435	0	-1	-1
20	0	4	0	895	0	-1	-1
20	0	4	1	1769	0	-1	-1
20	0	4	2	1007	0	-1	-1
20	0	4	3	525	1	-1	-1
20	0	4	5	755	0	-1	-1
20	0	5	0	948	1	-1	-1
20	0	5	1	675	1	-1	-1
20	0	5	2	825	1	-1	-1
20	0	5	3	425	1	-1	-1
20	0	5	4	752	1	-1	-1
21	0	0	1	895	1	-1	-1
21	0	0	2	1913	1	-1	-1
21	0	0	3	385	1	-1	-1
21	0	0	4	1164	1	-1	-1
21	0	0	5	834	0	-1	-1
21	0	1	0	580	0	-1	-1
21	0	1	2	845	0	-1	-1
21	0	1	3	1445	1	-1	-1
21	0	1	4	1620	1	-1	-1
21	0	1	5	525	0	-1	-1
21	0	2	0	1340	0	-1	-1
21	0	2	1	1035	1	-1	-1
21	0	2	3	805	0	-1	-1
21	0	2	4	906	1	-1	-1
21	0	2	5	929	0	-1	-1
21	0	3	0	410	0	-1	-1
21	0	3	1	3000	-1	-1	-1
21	0	3	2	575	0	-1	-1
21	0	3	4	860	1	-1	-1
21	0	3	5	515	0	-1	-1
21	0	4	0	895	0	-1	-1
21	0	4	1	1745	0	-1	-1
21	0	4	2	1007	0	-1	-1
21	0	4	3	525	1	-1	-1
21	0	4	5	795	0	-1	-1
21	0	5	0	917	1	-1	-1
21	0	5	1	630	1	-1	-1
21	0	5	2	1008	1	-1	-1
21	0	5	3	475	1	-1	-1
21	0	5	4	900	1	-1	-1
22	0	0	1	845	1	-1	-1
22	0	0	2	1923	1	-1	-1
22	0	0	3	380	1	-1	-1
22	0	0	4	1676	1	-1	-1
22	0	0	5	855	0	-1	-1
22	0	1	0	550	0	-1	-1
22	0	1	2	1075	0	-1	-1
22	0	1	3	1445	1	-1	-1
22	0	1	4	1535	1	-1	-1
22	0	1	5	665	0	-1	-1
22	0	2	0	1328	0	-1	-1
22	0	2	1	1363	0	-1	-1
22	0	2	3	937	0	-1	-1
22	0	2	4	906	1	-1	-1
22	0	2	5	862	0	-1	-1
22	0	3	0	440	0	-1	-1
22	0	3	1	3000	-1	-1	-1
22	0	3	2	885	0	-1	-1
22	0	3	4	860	1	-1	-1
22	0	3	5	515	0	-1	-1
22	0	4	0	895	0	-1	-1
22	0	4	1	1745	0	-1	-1
22	0	4	2	977	0	-1	-1
22	0	4	3	525	1	-1	-1
22	0	4	5	875	0	-1	-1
22	0	5	0	834	1	-1	-1
22	0	5	1	635	1	-1	-1
22	0	5	2	965	1	-1	-1
22	0	5	3	545	1	-1	-1
22	0	5	4	825	1	-1	-1
23	0	0	1	955	1	-1	-1
23	0	0	2	1918	1	-1	-1
23	0	0	3	415	1	-1	-1
